respondent_id,age,gender,education,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
R034,36-45,Female,Secondary,2,1,5,2,4,2,5,3,5,4,1,3,3,3,2,1,3,1
R035,46-55,Male,Tertiary,4,1,5,3,3,5,5,4,3,3,3,1,1,4,4,4,1,4
R036,18-25,Female,Secondary,2,5,5,3,2,2,5,4,3,4,2,3,4,5,4,2,5,1
R037,55+,Male,Secondary,5,3,2,4,2,4,5,1,2,5,3,5,3,3,5,5,1,4
R038,46-55,Female,Tertiary,2,5,2,2,4,5,1,5,5,5,2,2,1,1,4,4,2,4
R039,36-45,Female,Tertiary,3,3,4,3,5,4,4,5,5,2,3,5,3,2,4,5,2,1
R040,18-25,Male,Tertiary,3,3,4,3,4,4,4,3,2,4,4,3,4,3,4,5,3,5
R041,36-45,Male,Postgraduate,5,5,3,1,2,4,5,2,4,2,4,1,2,5,4,4,5,2
R042,46-55,Male,Tertiary,5,5,1,3,3,4,1,2,3,5,3,3,5,2,2,5,5,2
R043,18-25,Male,Secondary,3,5,5,5,3,4,2,3,4,1,3,3,1,3,5,5,4,2
R044,18-25,Male,Tertiary,5,2,2,4,3,3,2,1,1,2,4,1,4,3,5,1,1,2
R045,18-25,Female,Postgraduate,5,4,1,3,2,4,3,2,5,3,3,4,5,3,1,1,3,3
R046,36-45,Male,Tertiary,5,1,3,4,2,4,2,5,4,3,3,1,5,2,5,5,5,5
R047,55+,Male,Tertiary,4,5,3,3,5,3,5,4,3,2,2,4,3,4,2,4,1,1
R048,46-55,Female,Secondary,5,3,4,2,4,2,4,5,3,1,5,1,1,4,3,5,1,4
R049,36-45,Female,Tertiary,5,5,4,4,2,1,2,5,2,2,2,3,5,4,3,2,5,1
R050,26-35,Female,Tertiary,5,5,3,1,4,1,2,2,5,1,3,2,3,5,4,4,1,2
R051,36-45,Female,Tertiary,1,4,1,2,2,2,1,5,5,5,5,5,3,4,5,3,4,3
R052,36-45,Female,Secondary,5,5,2,3,4,3,5,5,2,1,4,3,2,5,3,5,3,1
R053,36-45,Male,Secondary,2,2,3,1,1,4,3,3,2,1,4,2,2,1,5,5,4,2
R054,46-55,Male,Postgraduate,4,1,2,2,2,4,3,4,4,4,2,1,3,5,5,3,2,1
R055,18-25,Male,Secondary,2,5,1,4,2,2,3,1,5,1,1,2,4,2,2,4,4,4
R056,36-45,Male,Secondary,5,4,4,5,3,2,2,5,5,4,5,3,3,5,3,2,2,3
R057,55+,Female,Secondary,4,3,4,5,3,5,4,3,2,5,1,2,5,5,5,4,2,1
R058,55+,Male,Secondary,1,2,2,4,2,5,2,4,1,4,2,4,2,1,5,5,4,4
R059,36-45,Female,Secondary,5,2,2,5,5,3,1,1,1,1,4,1,4,4,2,4,1,1
R060,18-25,Female,Tertiary,4,2,2,4,2,5,3,5,2,3,2,4,1,3,4,5,5,2
R061,55+,Female,Tertiary,5,4,3,2,3,5,1,1,1,3,1,2,3,2,3,5,3,4
R062,18-25,Male,Postgraduate,2,5,1,2,4,3,2,2,2,4,3,5,5,2,1,3,1,1
R063,18-25,Female,Postgraduate,1,3,3,4,2,4,2,1,4,2,2,4,5,1,1,4,4,1
R064,55+,Female,Secondary,3,1,2,1,1,4,2,2,4,1,5,4,5,3,5,4,3,2
R065,18-25,Female,Secondary,4,2,2,3,2,5,2,1,5,2,3,4,5,4,1,3,5,3
R066,26-35,Male,Secondary,1,2,3,3,1,3,4,4,2,4,2,4,1,1,1,2,2,5
R067,26-35,Female,Tertiary,2,2,2,3,2,3,1,5,1,1,5,1,4,5,2,2,5,2
R068,55+,Male,Tertiary,5,5,2,5,3,3,5,5,2,2,1,2,5,5,2,4,2,3
R069,36-45,Female,Tertiary,3,1,2,5,3,2,2,2,5,2,3,4,1,2,3,4,1,1
R070,26-35,Female,Secondary,3,2,3,2,2,3,1,1,3,4,4,2,4,1,2,1,5,1
R071,36-45,Female,Tertiary,1,2,5,2,5,2,4,4,4,3,4,1,3,5,1,3,1,3
R072,55+,Female,Postgraduate,4,5,3,2,5,1,2,4,4,3,4,3,5,4,1,2,4,4
R073,36-45,Female,Tertiary,4,1,3,5,1,1,2,5,1,4,2,1,2,1,2,3,4,1
R074,18-25,Male,Secondary,2,2,2,1,4,3,1,1,5,3,1,3,2,2,4,1,2,3
R075,26-35,Male,Secondary,1,2,4,4,2,2,2,4,1,1,3,1,3,5,3,3,1,4
R076,18-25,Male,Tertiary,1,5,2,1,4,5,1,4,4,2,2,2,3,2,4,5,1,1
R077,18-25,Male,Postgraduate,3,5,5,3,1,4,2,3,2,5,5,4,5,5,1,3,3,2
R078,46-55,Male,Postgraduate,5,5,1,3,1,4,1,3,4,2,2,1,3,5,3,1,4,2
R079,55+,Male,Secondary,2,3,3,1,2,5,4,2,2,2,2,4,3,2,3,3,2,3
R080,36-45,Male,Postgraduate,1,5,4,2,1,1,3,4,3,1,4,1,5,5,5,2,5,1
R081,18-25,Male,Postgraduate,3,4,5,1,4,4,5,4,5,1,1,4,2,4,3,1,4,5
R082,36-45,Female,Secondary,2,2,1,3,1,2,3,5,3,1,3,4,5,4,4,4,3,1
R083,36-45,Female,Postgraduate,4,3,3,5,1,2,3,4,1,2,3,2,3,1,4,5,4,3
R084,18-25,Female,Postgraduate,4,1,4,5,2,3,4,3,3,1,5,5,3,3,1,2,3,3
R085,26-35,Male,Secondary,5,4,4,1,2,3,1,4,4,1,2,5,4,2,3,3,3,2
R086,55+,Female,Secondary,5,3,1,5,2,1,5,2,2,1,4,1,5,2,5,4,3,2
R087,18-25,Male,Postgraduate,2,5,2,4,3,2,5,2,2,1,4,5,5,5,2,2,5,1
R088,18-25,Male,Tertiary,5,1,3,4,2,1,1,4,5,1,1,3,5,5,1,1,2,4
R089,26-35,Male,Secondary,4,5,1,1,1,4,2,3,2,1,3,1,3,2,3,5,3,2
R090,18-25,Female,Tertiary,4,2,5,5,2,5,3,4,5,5,2,1,5,5,4,1,2,4
R091,46-55,Male,Postgraduate,2,3,3,2,5,4,4,4,4,3,3,5,3,1,3,2,1,4
R092,46-55,Female,Postgraduate,2,4,1,2,5,2,4,5,3,4,4,5,1,4,3,4,2,5
R093,18-25,Female,Tertiary,4,3,1,5,2,4,4,1,1,2,4,3,3,2,2,2,3,1
R094,26-35,Female,Tertiary,3,4,3,1,2,4,2,5,1,4,5,4,5,4,4,5,3,1
R095,55+,Male,Secondary,2,4,4,3,5,4,2,4,3,4,1,2,1,2,1,4,3,4
R096,26-35,Male,Tertiary,4,4,3,2,5,2,1,2,3,1,1,1,2,5,2,4,3,2
R097,55+,Female,Postgraduate,3,3,5,4,4,4,4,4,5,4,4,2,2,2,4,5,5,2
R098,26-35,Male,Tertiary,4,5,2,4,2,4,4,3,4,4,2,1,2,2,2,1,1,2
R099,55+,Female,Tertiary,3,1,1,3,3,5,5,5,3,1,2,1,4,3,1,4,3,1
R100,18-25,Female,Postgraduate,5,5,1,5,2,1,4,3,3,2,1,1,3,1,4,2,4,5
R101,46-55,Male,Tertiary,5,4,3,1,1,5,1,1,2,1,1,1,5,3,3,2,4,2
R102,18-25,Male,Postgraduate,5,5,2,2,2,4,4,1,3,2,5,2,1,1,4,4,5,2
R103,55+,Male,Tertiary,1,4,1,4,2,3,1,4,4,1,1,3,1,2,1,2,3,4
R104,18-25,Male,Postgraduate,4,2,4,3,2,3,3,5,5,3,4,4,2,1,2,5,1,2
R105,26-35,Female,Secondary,2,5,4,5,1,1,1,4,1,5,5,2,5,1,3,2,3,2
R106,55+,Female,Secondary,1,5,3,4,2,5,4,3,5,3,1,5,2,2,4,3,3,1
R107,26-35,Female,Secondary,5,3,3,2,2,3,3,1,4,3,2,3,2,2,4,2,2,2
R108,55+,Female,Secondary,5,2,2,2,3,2,5,5,5,4,4,3,4,3,3,2,2,5
R109,46-55,Female,Postgraduate,1,1,2,1,1,1,3,2,2,4,5,4,5,4,3,1,3,3
R110,46-55,Male,Tertiary,4,1,3,3,3,1,4,1,3,3,5,2,5,2,2,5,3,1
R111,26-35,Female,Secondary,4,2,4,4,4,4,1,1,1,5,3,5,2,3,1,1,4,5
R112,36-45,Female,Postgraduate,3,1,5,5,3,5,2,4,5,2,1,4,5,5,5,1,5,2
R113,55+,Male,Tertiary,3,2,2,3,3,3,3,3,5,1,4,2,4,2,2,1,1,1
R114,55+,Female,Secondary,5,1,2,2,1,3,1,5,5,4,5,1,4,4,4,5,3,1
R115,36-45,Male,Postgraduate,3,5,3,2,2,2,5,2,1,4,3,2,3,5,1,2,4,2
R116,18-25,Male,Tertiary,2,3,1,1,4,2,4,2,1,2,4,3,1,2,1,4,4,1
R117,26-35,Male,Secondary,2,2,1,4,3,5,5,5,2,5,5,1,3,1,3,5,4,1
R118,55+,Female,Tertiary,2,1,2,2,4,1,5,1,4,3,3,2,3,5,3,1,4,2
R119,46-55,Male,Secondary,3,2,5,4,1,4,2,1,2,4,2,1,4,2,4,2,1,1
R120,18-25,Female,Tertiary,2,3,3,2,1,5,2,3,5,5,4,5,5,1,1,1,3,4
R121,18-25,Male,Postgraduate,5,2,5,5,4,3,2,1,2,5,4,3,1,5,2,2,2,2
R122,36-45,Female,Secondary,3,5,5,1,1,1,4,5,1,5,5,2,3,2,4,5,4,3
R123,26-35,Male,Tertiary,2,3,4,1,1,1,1,5,5,4,2,4,2,4,5,3,4,2
R124,46-55,Male,Postgraduate,2,2,5,1,3,1,3,5,1,2,4,3,3,2,1,1,4,1
R125,55+,Female,Tertiary,4,3,4,2,2,1,4,4,2,1,2,1,4,5,1,2,5,4
R126,55+,Female,Tertiary,1,3,1,2,4,2,4,4,1,2,2,4,4,4,5,5,1,4
R127,46-55,Male,Secondary,5,2,1,4,1,4,4,4,4,4,5,1,2,1,4,4,1,2
R128,46-55,Female,Tertiary,3,4,3,4,1,3,4,1,3,5,1,4,1,4,5,2,3,1
R129,26-35,Female,Postgraduate,2,3,4,5,5,1,3,2,5,5,1,4,2,4,4,2,1,3
R130,55+,Female,Postgraduate,2,5,5,1,1,5,2,4,5,3,4,2,4,3,3,2,3,5
R131,18-25,Male,Postgraduate,2,1,5,3,1,5,4,5,1,3,1,4,1,1,4,1,2,5
R132,55+,Male,Postgraduate,5,3,4,2,3,5,5,4,1,4,5,5,3,2,4,2,4,5
R133,55+,Female,Secondary,3,3,3,5,2,3,2,2,5,3,2,1,5,4,2,5,2,5
R134,18-25,Male,Postgraduate,4,2,2,4,2,4,2,2,4,1,2,1,3,4,5,2,3,5
R135,46-55,Female,Tertiary,2,3,2,5,2,1,2,5,2,3,2,2,5,1,3,4,3,1
R136,18-25,Male,Postgraduate,2,4,3,4,3,1,3,2,2,2,5,2,1,4,3,4,4,5
R137,55+,Male,Tertiary,2,2,4,2,4,5,5,2,3,3,3,4,4,4,5,5,5,1
R138,55+,Female,Secondary,4,5,4,1,1,2,2,2,3,4,1,3,2,1,3,5,5,3
R139,18-25,Male,Secondary,4,2,1,4,3,5,3,5,1,4,2,5,3,4,4,3,4,2
R140,46-55,Male,Tertiary,2,1,1,2,4,2,2,2,5,2,3,1,1,1,1,5,5,4
R141,26-35,Male,Postgraduate,1,3,1,3,4,2,3,4,1,1,4,2,4,4,3,2,2,4
R142,18-25,Female,Postgraduate,2,4,1,1,2,3,3,2,5,1,1,5,4,2,2,2,1,5
R143,55+,Female,Secondary,2,5,4,5,5,4,3,1,2,2,5,3,2,1,3,5,2,4
R144,46-55,Female,Secondary,1,4,4,5,1,3,5,3,1,2,3,5,3,2,1,3,5,2
R145,18-25,Female,Postgraduate,3,1,4,3,3,3,4,1,5,4,2,5,4,1,5,5,1,4
R146,46-55,Male,Postgraduate,4,1,3,4,5,1,4,4,1,4,2,5,3,1,2,1,2,1
R147,26-35,Female,Postgraduate,2,3,2,3,4,2,5,4,2,1,4,5,5,1,3,5,5,3
R148,46-55,Female,Secondary,4,1,1,4,4,1,5,3,5,5,5,4,4,4,2,2,4,2
R149,55+,Male,Postgraduate,1,4,3,5,3,1,5,1,1,4,4,1,1,1,3,1,3,5
R150,46-55,Male,Secondary,4,2,2,1,2,1,2,4,1,4,1,1,3,1,2,3,5,2
R151,55+,Male,Secondary,1,3,3,4,2,2,3,3,5,3,2,2,4,4,2,1,4,1
R152,18-25,Female,Secondary,5,4,4,1,1,5,1,3,3,3,5,3,4,1,4,5,2,1
R153,36-45,Female,Tertiary,1,4,1,2,4,4,5,3,5,5,1,3,4,2,1,1,5,2
R154,46-55,Female,Tertiary,4,4,1,3,1,1,2,1,1,4,3,2,3,4,1,3,5,4
R155,36-45,Male,Postgraduate,1,4,3,1,5,1,5,3,1,3,2,2,5,3,4,3,4,3
R156,46-55,Female,Postgraduate,1,3,2,1,1,1,5,4,3,3,4,5,4,1,5,1,3,5
R157,36-45,Female,Postgraduate,1,2,4,1,2,5,4,4,5,4,1,5,1,3,3,1,5,5
R158,18-25,Female,Postgraduate,3,2,1,3,3,2,2,1,2,3,2,2,3,4,1,1,4,4
R159,26-35,Male,Secondary,3,1,1,2,4,2,1,5,5,1,2,5,2,4,4,1,1,3
R160,18-25,Female,Postgraduate,3,1,4,2,1,2,4,5,1,1,2,5,4,2,2,5,1,4
R161,26-35,Male,Postgraduate,3,5,1,5,1,2,1,3,5,2,5,1,4,4,5,2,1,1
R162,26-35,Male,Tertiary,1,3,1,3,2,2,2,3,1,4,4,1,5,4,1,5,4,1
R163,36-45,Male,Tertiary,3,4,4,3,2,5,5,3,5,3,4,3,1,2,1,1,1,5
R164,26-35,Male,Secondary,1,1,5,3,4,2,3,4,3,4,1,2,1,5,3,5,2,5
R165,46-55,Female,Secondary,2,5,1,5,3,1,2,4,4,5,5,4,3,5,3,2,4,2
R166,46-55,Male,Postgraduate,4,1,1,3,5,5,2,2,5,2,3,2,4,3,2,3,4,2
R167,36-45,Female,Tertiary,5,1,1,1,5,2,3,2,3,3,1,2,5,1,4,2,1,1
R168,18-25,Female,Secondary,2,1,2,4,3,2,3,1,4,3,4,2,2,4,2,1,1,2
R169,18-25,Female,Postgraduate,3,4,1,3,4,1,3,3,5,5,1,4,4,5,2,2,4,4
R170,46-55,Female,Secondary,5,4,4,3,4,4,2,3,1,2,1,3,2,4,4,3,4,4
R171,26-35,Female,Postgraduate,5,2,2,4,5,2,2,1,4,3,3,4,5,3,1,5,4,4
R172,55+,Male,Postgraduate,5,3,2,4,1,5,3,2,1,5,3,3,2,2,4,4,2,5
R173,26-35,Male,Postgraduate,5,4,3,2,3,3,2,3,1,1,5,1,2,3,5,3,5,4
R174,36-45,Male,Postgraduate,2,5,4,1,2,4,2,2,5,4,3,4,3,1,2,2,1,4
R175,36-45,Male,Postgraduate,3,5,3,4,4,1,4,5,5,3,3,5,5,4,5,2,2,1
R176,46-55,Female,Secondary,2,2,3,1,4,3,5,2,3,3,2,1,5,3,2,2,3,5
R177,26-35,Male,Secondary,4,4,4,2,3,4,3,4,4,4,5,3,2,1,3,5,1,3
R178,18-25,Female,Tertiary,1,3,5,3,4,5,4,1,5,4,1,2,2,5,1,4,3,1
R179,36-45,Male,Tertiary,3,5,1,1,1,5,3,2,3,4,2,5,5,3,3,2,4,4
R180,46-55,Male,Secondary,3,3,1,4,2,3,4,2,3,1,5,1,4,5,3,4,5,5
R181,18-25,Male,Postgraduate,4,2,5,1,4,4,2,1,2,5,4,3,4,4,3,1,2,4
R182,36-45,Male,Postgraduate,5,5,4,3,3,2,2,3,4,3,4,1,5,4,2,4,5,3
R183,18-25,Male,Tertiary,1,5,2,1,1,4,3,5,1,5,5,1,3,5,1,1,2,3
R184,36-45,Male,Tertiary,2,4,2,1,3,4,1,5,1,1,2,2,1,2,1,3,2,2
R185,18-25,Female,Secondary,2,2,3,5,1,3,4,5,1,5,2,5,1,2,5,5,5,1
R186,46-55,Male,Secondary,3,2,2,2,5,2,1,5,1,4,3,1,2,4,5,5,3,4
R187,55+,Female,Secondary,1,5,4,3,4,4,2,2,4,1,5,4,4,2,5,1,2,3
R188,46-55,Female,Secondary,2,1,5,1,5,5,3,5,4,5,3,1,5,2,3,4,1,3
R189,46-55,Male,Tertiary,3,3,3,4,3,4,1,3,1,5,2,4,5,2,5,2,4,5
R190,36-45,Female,Secondary,5,4,1,4,3,1,4,4,3,2,2,3,5,4,5,2,5,4
R191,55+,Female,Secondary,3,3,1,1,4,4,2,1,2,5,2,5,2,3,1,3,1,4
R192,55+,Male,Tertiary,4,4,5,4,4,5,1,4,3,1,1,3,5,1,2,3,5,3
R193,36-45,Female,Postgraduate,1,2,1,5,2,1,3,2,3,2,1,3,1,1,2,3,2,2
R194,46-55,Male,Postgraduate,3,3,3,2,2,1,4,4,2,1,3,4,2,1,4,3,1,1
R195,46-55,Female,Secondary,5,2,4,1,2,5,5,4,4,3,4,3,5,4,1,3,5,1
R196,36-45,Female,Secondary,2,3,2,5,1,5,5,2,3,4,4,3,2,2,4,4,3,4
R197,46-55,Male,Secondary,3,5,1,5,5,4,3,5,4,1,3,3,1,5,5,4,4,5
R198,46-55,Female,Tertiary,2,3,4,5,3,2,5,4,4,2,3,1,2,2,2,3,5,3
R199,18-25,Female,Secondary,4,1,5,1,3,3,2,2,3,4,5,5,2,3,1,5,1,3
R200,55+,Male,Postgraduate,2,4,1,3,5,3,5,3,1,4,3,1,4,2,3,3,1,4
R201,18-25,Male,Tertiary,2,5,3,2,3,1,4,4,5,3,5,5,5,3,4,5,2,5
R202,46-55,Female,Postgraduate,4,3,2,5,1,4,2,3,2,3,1,5,3,4,2,1,5,1
R203,26-35,Male,Tertiary,5,1,2,1,2,5,3,4,4,4,5,2,1,3,1,2,2,1
R204,46-55,Female,Secondary,2,1,5,5,5,2,5,2,2,2,1,5,1,4,1,5,2,3
R205,18-25,Female,Secondary,5,2,1,4,5,3,5,2,2,1,2,5,1,4,1,5,4,2
R206,18-25,Male,Tertiary,1,5,5,4,2,3,4,4,2,2,2,5,4,5,2,4,1,1
R207,55+,Female,Postgraduate,5,2,2,4,3,5,2,5,4,2,2,4,3,5,4,5,1,1
R208,26-35,Male,Tertiary,4,4,4,4,4,2,4,4,2,5,1,4,3,5,1,2,3,1
R209,26-35,Male,Tertiary,2,1,5,3,3,2,3,2,2,1,1,2,3,3,4,4,1,5
R210,18-25,Female,Tertiary,4,1,2,4,1,5,2,2,5,3,3,2,3,2,5,3,5,5
R211,26-35,Male,Postgraduate,3,5,5,3,1,3,1,4,2,2,2,2,1,1,4,4,3,5
R212,55+,Female,Tertiary,1,1,2,5,4,1,4,5,5,2,3,3,1,5,5,4,2,1
R213,26-35,Male,Tertiary,2,2,1,2,4,5,3,1,2,3,1,3,4,5,3,3,3,5
R214,46-55,Female,Secondary,3,1,2,1,1,2,3,1,4,2,1,2,2,4,2,1,2,4
R215,26-35,Female,Tertiary,5,1,3,3,3,1,1,1,1,3,5,4,2,1,3,2,3,4
R216,36-45,Male,Secondary,1,2,5,5,3,3,4,3,4,5,2,2,1,2,2,3,4,1
R217,36-45,Female,Tertiary,3,2,1,3,1,5,3,5,5,5,5,4,1,4,2,4,2,4
R218,55+,Male,Postgraduate,5,1,4,2,1,3,3,1,4,4,4,2,4,2,3,1,2,1
R219,36-45,Female,Tertiary,5,5,2,1,5,4,4,1,2,5,1,2,4,4,2,2,4,4
R220,55+,Male,Postgraduate,4,5,3,4,3,5,5,2,2,1,2,5,3,3,1,2,5,1
R221,18-25,Female,Postgraduate,5,3,4,5,5,3,5,2,5,4,1,1,5,2,1,2,3,5
R222,46-55,Female,Postgraduate,5,3,5,5,1,5,2,4,1,1,5,3,4,3,3,2,3,3
R223,18-25,Male,Secondary,3,3,4,4,3,5,2,5,4,1,5,4,2,4,1,2,4,3
R224,55+,Male,Tertiary,2,2,4,1,2,3,3,3,4,3,3,3,5,3,2,1,5,5
R225,26-35,Male,Postgraduate,5,4,2,3,4,4,1,3,3,3,4,1,5,4,4,3,1,4
R226,36-45,Male,Tertiary,4,2,1,4,4,4,2,1,2,2,5,2,5,3,4,2,4,2
R227,36-45,Female,Secondary,4,1,2,2,3,1,1,3,2,2,3,1,2,4,2,2,4,3
R228,55+,Female,Tertiary,4,2,5,2,3,1,5,5,4,4,1,2,2,1,5,4,1,3
R229,46-55,Female,Secondary,1,5,2,3,2,4,4,5,1,3,3,3,2,4,4,5,2,1
R230,55+,Female,Secondary,5,5,1,1,2,2,3,5,3,2,1,2,2,3,3,2,1,1
R231,18-25,Male,Tertiary,5,2,2,5,4,4,2,4,1,5,5,5,3,3,2,1,5,1
R232,36-45,Female,Postgraduate,4,5,1,4,4,4,5,3,5,2,3,5,1,3,2,2,5,2
R233,26-35,Male,Secondary,2,2,5,5,4,5,2,5,3,4,3,1,4,5,3,1,4,2
R234,46-55,Female,Postgraduate,2,2,1,2,5,3,5,1,2,2,3,1,4,2,1,4,2,4
R235,26-35,Male,Tertiary,3,1,1,1,5,3,5,1,3,3,5,5,3,2,2,2,4,2
R236,46-55,Male,Postgraduate,3,1,5,1,1,4,2,2,1,5,3,2,1,5,4,4,4,2
R237,55+,Female,Secondary,2,5,4,2,4,5,5,5,1,3,1,2,3,3,5,5,4,3
R238,26-35,Male,Secondary,4,3,1,2,4,2,1,2,2,1,5,1,2,1,4,1,1,2
R239,55+,Female,Secondary,1,5,5,2,3,4,5,1,4,5,3,3,4,2,5,3,5,2
R240,26-35,Male,Tertiary,3,1,4,5,4,3,5,4,1,1,3,1,3,5,5,4,1,3
R241,46-55,Male,Postgraduate,2,2,1,4,5,1,1,2,3,4,2,3,4,2,3,1,5,2
R242,36-45,Male,Secondary,1,1,5,2,1,3,3,2,1,4,3,4,4,4,4,4,5,2
R243,46-55,Male,Postgraduate,2,1,2,5,4,3,3,4,3,2,4,3,3,4,3,5,2,5
R244,18-25,Male,Postgraduate,3,4,4,1,3,2,3,4,4,4,2,4,2,3,1,5,3,3
R245,26-35,Male,Secondary,2,3,5,4,4,1,5,3,3,5,2,4,1,1,1,2,2,4
R246,36-45,Female,Postgraduate,4,2,1,1,1,5,4,1,1,5,4,3,3,5,4,5,1,2
R247,46-55,Female,Secondary,4,1,5,2,5,5,5,3,1,3,1,3,4,1,1,2,2,1
R248,46-55,Male,Secondary,3,2,4,4,2,5,2,2,3,1,2,1,5,5,4,2,3,4
R249,36-45,Female,Tertiary,3,4,5,2,1,4,1,1,3,3,1,4,5,1,1,5,4,4
R250,46-55,Male,Tertiary,5,2,1,2,3,3,1,5,5,3,3,3,2,1,5,5,5,4
R251,26-35,Male,Tertiary,1,5,3,4,3,4,1,1,1,1,2,2,2,5,2,5,1,3
R252,55+,Male,Tertiary,2,1,5,4,1,1,4,1,5,2,2,1,4,5,2,4,5,3
R253,55+,Female,Postgraduate,2,1,2,5,5,2,2,5,5,5,1,5,4,2,4,4,4,4
R254,36-45,Male,Postgraduate,4,3,3,2,5,2,5,5,2,3,5,2,5,5,3,2,2,4
R255,36-45,Female,Secondary,2,4,1,4,5,5,4,1,2,2,4,4,1,1,4,5,4,3
R256,26-35,Female,Postgraduate,1,2,3,2,4,3,3,2,5,4,4,5,1,5,1,1,2,1
R257,36-45,Male,Postgraduate,5,2,3,3,3,5,2,5,4,2,2,1,4,3,1,4,5,1
R258,36-45,Female,Postgraduate,1,1,5,4,2,5,5,1,4,5,2,1,5,1,5,2,3,4
R259,18-25,Male,Secondary,1,1,2,4,1,1,2,1,2,1,4,5,5,1,1,1,4,5
R260,26-35,Male,Postgraduate,4,3,3,4,4,3,3,5,4,3,4,3,3,5,5,5,1,4
R261,55+,Female,Postgraduate,3,5,2,3,4,2,2,3,4,4,5,5,2,4,1,4,3,5
R262,18-25,Female,Postgraduate,5,3,3,4,1,2,3,1,4,2,3,3,3,2,5,3,4,2
R263,26-35,Female,Postgraduate,5,5,1,4,1,2,3,5,4,3,1,1,1,5,5,3,5,5
R264,36-45,Male,Postgraduate,1,4,1,1,3,5,5,4,4,5,4,4,5,4,3,5,3,2
R265,18-25,Male,Postgraduate,2,1,5,3,4,5,5,3,2,4,3,4,3,1,3,1,2,5
R266,46-55,Male,Tertiary,1,2,1,2,3,2,1,3,4,5,5,1,4,2,5,2,1,4
R267,55+,Female,Secondary,5,2,1,1,3,1,5,4,2,4,1,1,5,3,5,3,1,1
